NIM,Objek,Agama[1-10],Rupa[1-10],Harta[1-10],Pandai[1-10],Romantis[1-10],Hasil[Terima/Tolak]
1197050123,A,7,7,8,8,7,Terima
1197050123,B,7,6,7,9,7,Tolak
1197050123,C,6,8,6,8,8,Tolak
1197050114,A,8,9,8,9,8,Terima
1197050114,B,9,7,7,8,7,Terima
1197050114,C,4,9,4,5,9,Tolak
1197050114,D,6,8,6,8,6,Terima
1197050114,E,7,4,5,4,5,Tolak
1197050109,A,8,9,8,9,6,Terima
1197050109,B,5,7,7,8,7,Terima
1197050109,C,8,6,9,8,5,Terima
1197050109,D,7,8,6,7,6,Terima
1197050109,E,6,7,8,8,7,Terima
1197050016,A,9,6,4,5,8,Terima
1197050016,B,7,5,6,8,7,Terima
1197050016,C,6,7,5,7,9,Tolak
1197050016,D,8,4,8,9,6,Tolak
1197050016,E,5,8,7,6,5,Terima
1197050014,A,2,6,6,8,8,Terima
1197050014,B,5,8,5,6,6,Terima
1197050014,C,3,4,8,5,7,Tolak
1197050014,D,4,7,5,7,9,Terima
1197050014,E,7,9,7,4,6,Tolak
1167050171,A,5,8,8,8,9,Terima
1167050171,B,8,7,7,8,6,Tolak
1167050171,C,7,8,9,7,8,Tolak
1167050171,D,9,8,7,9,6,Terima
1167050171,E,8,7,7,9,7,Terima
1197050111,A,4,9,3,6,5,Tolak
1197050111,B,9,7,8,5,5,Terima
1197050111,C,6,7,6,5,4,Terima
1197050111,D,5,6,5,7,4,Tolak
1197050111,E,7,8,8,8,6,Terima
1197050040,A,3,9,8,9,7,Terima
1197050040,B,2,6,9,5,9,Tolak
1197050040,C,8,8,8,7,4,Terima
1197050040,D,9,4,4,8,5,Terima
1197050040,E,2,5,5,6,6,Tolak
1197050134,A,6,3,6,5,6,Tolak
1197050134,B,3,7,4,6,4,Tolak
1197050134,C,7,8,7,9,5,Terima
1197050134,D,8,5,3,5,8,Terima
1197050134,E,4,6,2,8,7,Tolak
1197050095,A,10,8,5,7,4,Terima
1197050095,B,7,7,7,7,7,Terima
1197050095,C,5,6,8,4,9,Tolak
1197050095,D,8,9,6,6,6,Terima
1197050095,E,1,9,9,4,8,Tolak
1197050048,A,9,6,7,6,7,Terima
1197050048,B,8,7,8,7,6,Tolak
1197050048,C,7,8,9,7,8,Tolak
1197050048,D,6,6,8,9,7,Tolak
1197050048,E,5,9,7,7,9,Terima
1197050010,A,8,7,5,7,7,Terima
1197050010,B,7,5,4,8,6,Terima
1197050010,C,3,8,8,4,2,Tolak
1197050010,D,5,7,5,9,3,Terima
1197050010,E,2,8,8,8,3,Tolak
1197050066,A,7,8,6,10,7,Terima 
1197050066,B,6,9,4,9,7,Terima 
1197050066,C,3,6,4,3,4,Tolak
1197050066,D,6,4,3,4,7,Tolak
1197050066,E,4,6,7,4,6,Tolak
1197050079,B,9,8,1,10,6,Terima
1197050079,D,6,10,5,9,4,Terima
1197050079,A,5,6,10,7,1,Tolak
1197050079,C,8,9,6,2,10,Tolak
1197050079,E,10,5,8,7,3,Tolak
1197050100,C,10,9,7,9,8,Terima
1197050100,A,8,7,8,5,7,Tolak
1197050100,D,10,10,9,9,7,Terima
1197050100,B,5,8,5,8,9,Tolak
1197050100,E,2,4,9,6,3,Tolak
1197050102,A,8,10,10,10,10,Terima
1197050102,B,7,5,6,5,3,Tolak
1197050102,C,6,6,5,4,5,Tolak
1197050102,D,8,8,7,9,10,Terima
1197050102,E,6,7,8,10,10,Terima
1197050063,A,8,5,6,10,6,Terima
1197050063,B,6,5,6,8,4,Tolak
1197050063,C,9,9,9,4,9,Terima
1197050063,D,7,7,5,4,8,Tolak
1197050063,E,9,8,3,7,7,Tolak
1197050091,A,2,9,8,4,1,Tolak
1197050091,B,9,3,5,7,5,Terima
1197050091,C,6,10,6,2,8,Terima
1197050091,D,7,5,10,8,10,Tolak
1197050091,E,10,1,2,6,5,Terima
1197050036,A,5,8,8,7,8,Tolak
1197050036,B,8,9,8,8,7,Terima
1197050036,C,10,8,7,8,7,Terima
1197050036,D,5,7,8,6,9,Tolak
1197050036,E,9,8,7,8,6,Terima
1197050012,A,7,10,8,6,9,Terima
1197050012,B,9,8,6,7,4,Terima
1197050012,C,4,6,7,8,10,Terima
1197050012,D,5,4,8,5,6,Tolak
1197050012,E,2,7,4,6,7,Tolak
1197050043,A,9,10,7,10,5,Terima
1197050043,B,8,7,8,9,8,Terima
1197050043,C,7,8,6,7,8,Tolak
1197050043,D,6,8,7,9,9,Tolak
1197050043,E,10,9,10,7,6,Terima
1197050124,A,6,5,5,5,7,Tolak
1197050124,B,5,9,9,8,4,Tolak
1197050124,C,7,8,7,9,5,Terima
1197050124,D,8,4,6,5,8,Terima
1197050124,E,5,7,7,8,2,Terima
1197050053,A,4,9,3,2,10,Tolak
1197050053,B,10,9,1,10,5,Terima
1197050081,A,5,5,8,5,9,Terima
1197050081,B,3,8,2,7,8,Terima
1197050081,C,1,2,10,8,4,Tolak
1197050081,D,6,10,5,5,7,Terima
1197050101,A,1,3,5,7,9,Tolak
1197050101,B,9,1,3,5,7,Tolak
1197050101,C,7,9,1,3,5,Tolak
1197050101,D,5,7,9,1,3,Tolak
1197050101,E,3,5,7,9,1,Terima
1197050037,A,7,6,8,8,6,Terima
1197050037,B,8,6,8,7,7,Terima
1197050037,C,8,7,8,7,7,Tolak
1197050037,D,7,5,6,7,7,Tolak
1197050037,E,6,7,7,7,7,Terima
1197050034,A,5,8,7,8,7,Terima
1197050034,B,8,3,4,6,2,Tolak
1197050034,C,8,7,9,7,8,Terima
1197050034,D,4,9,5,8,6,Terima
1197050034,E,4,6,5,5,8,Tolak
1197050029,A,8,8,6,9,7,Terima
1197050029,B,9,7,8,9,5,Tolak
1197050029,C,7,9,6,9,8,Tolak
1197050029,D,7,7,8,8,9,Terima
1197050029,E,8,8,7,7,8,Tolak
1197050026,A,7,6,4,5,7,Tolak
1197050026,B,6,8,4,8,6,Terima
1197050026,C,5,6,6,3,5,Tolak
1197050026,D,5,9,5,7,5,Terima
1197050026,E,4,4,7,6,6,Tolak
1197050081,A,8,7,4,6,3,Terima
1197050081,B,7,4,3,2,9,Tolak
1197050081,C,2,8,7,4,5,Tolak
1197050081,D,5,7,6,8,4,Terima
1197050081,E,4,5,9,2,7,Terima
1197050069,A,6,9,7,6,9,Terima
1197050069,B,5,7,8,6,7,Tolak
1197050069,C,9,10,7,9,10,Terima
1197050069,D,8,9,10,6,9,Terima
1197050069,E,10,8,6,10,9,Terima
1197050047,A,1,1,1,1,1,Tolak
1197050047,B,8,8,10,10,5,Terima
1197050047,C,10,5,8,8,8,Terima
1197050047,D,3,6,3,4,9,Tolak
1197050047,E,8,8,6,9,4,Terima
1197050056,A,10,9,9,9,8,Terima
1197050056,B,7,6,6,9,6,Tolak
1197050056,C,8,7,7,8,7,Terima
1197050056,D,6,1,10,2,3,Tolak
1197050056,E,9,8,7,7,8,Terima
1197050086,A,10,9,3,9,9,Terima
1197050086,B,9,8,8,5,4,Terima
1197050086,C,5,9,3,7,9,Tolak
1197050086,D,5,6,9,8,6,Tolak
1197050086,E,6,7,9,9,8,Tolak
1197050064,A,6,8,5,8,8,Terima
1197050064,B,9,9,8,8,9,Tolak
1197050064,C,6,9,6,8,8,Terima
1197050064,D,8,7,9,7,9,Terima
1197050064,E,7,9,8,6,5,Terima
1197050059,A,9,7,5,10,10,Terima
1197050059,B,10,9,8,9,4,Tolak
1197050059,C,5,8,7,10,10,Terima
1197050059,D,10,8,4,5,8,Terima
1197050059,E,6,6,8,10,8,Terima
1187050100,A,8,8,8,9,7,Terima
1187050100,B,7,9,8,9,6,Tolak
1187050100,C,9,8,9,9,8,Terima
1187050100,D,10,7,8,8,5,Terima
1187050100,E,7,8,7,8,6,Terima
1197050022,A,7,8,9,6,4,Terima
1197050022,B,8,4,8,5,7,Tolak
1197050022,C,9,8,7,4,5,Terima
1197050022,D,10,9,6,7,8,Terima
1197050022,E,9,7,8,10,6,Tolak
1197050084,A,8,9,6,7,8,Terima
1197050084,B,7,9,8,9,7,Terima
1197050084,C,7,6,7,6,8,Tolak
1197050084,D,5,6,7,7,7,Tolak
1197050084,E,9,10,6,9,8,Terima
1197050125,A,5,7,8,7,8,Tolak
1197050125,B,9,8,9,8,7,Terima
1197050125,C,8,9,5,9,6,Terima
1197050125,D,8,8,6,6,5,Terima
1197050125,E,6,8,7,8,9,Tolak
1197050023,A,7,9,5,6,6,Terima
1197050023,B,6,8,5,7,7,Terima
1197050023,C,8,8,7,8,6,Terima
1197050023,D,6,9,8,8,8,Terima
1197050023,E,5,5,6,4,8,Tolak
1197050120,A,7,10,7,8,4,Terima
1197050120,B,5,9,7,9,6,Terima
1197050120,C,5,8,7,9,9,Terima
1197050120,D,8,9,8,9,7,Terima
1197050120,E,4,9,8,6,8,Terima
1197050118,A,7,10,7,7,8,Terima
1197050118,B,7,8,7,8,7,Terima
1197050118,C,6,6,9,8,9,Tolak
1197050118,D,8,8,9,9,9,Terima
1197050118,E,6,6,10,6,10,Tolak
1197050060,A,5,8,6,6,7,Terima
1197050060,B,7,7,8,9,7,Terima
1197050060,C,5,8,8,6,8,Tolak
1197050060,D,10,7,6,7,6,Terima
1197050060,E,6,8,9,10,3,Terima
1197050119,A,8,9,6,7,6,Terima
1197050119,B,6,6,8,8,10,Terima
1197050119,C,6,7,7,6,6,Tolak
1197050119,D,8,9,7,8,9,Terima
1197050119,E,9,9,7,8,10,Terima
1197050127,A,8,7,8,8,8,Terima
1197050127,B,8,8,8,8,8,Terima
1197050127,C,8,9,7,7,8,Terima
1197050127,D,8,8,8,8,7,Tolak
1197050127,E,8,7,7,7,7,Tolak
1197050039,A,10,9,6,9,6,Terima
1197050039,B,8,8,8,9,8,Terima
1197050039,C,7,6,9,7,9,Tolak
1197050039,D,6,6,8,7,9,Tolak
1197050039,E,5,10,9,6,9,Tolak
1197050024,A,2,8,9,7,7,Terima
1197050024,B,6,9,10,4,5,Terima
1197050024,C,7,10,6,7,6,Tolak
1197050024,D,8,7,8,7,6,Tolak
1197050024,E,7,10,7,6,9,Terima
1197050044,A,9,9,8,9,9,Terima
1197050044,B,7,8,8,8,9,Terima
1197050044,C,8,9,9,9,9,Terima
1197050044,D,10,9,9,9,9,Terima
1197050044,E,8,9,9,8,9,Terima
1197050104,A,7,10,10,9,10,Terima
1197050104,B,10,9,6,8,8,Tolak
1197050104,C,8,9,9,9,10,Terima
1197050104,D,10,8,7,10,8,Tolak
1197050104,E,7,8,7,8,10,Tolak
1197050045,A,7,8,8,8,7,Tolak
1197050045,B,8,7,9,9,9,Tolak
1197050045,C,8,9,10,9,8,Terima
1197050045,D,7,9,8,7,8,Tolak
1197050045,E,8,9,8,8,8,Terima
1167050001,A,7,9,7,7,7,Terima
1167050001,B,7,8,6,7,7,Terima
1167050001,C,7,8,7,7,7,Tolak
1167050001,D,8,7,7,8,7,Tolak
1167050001,E,7,8,8,8,8,Tolak
1197050130,A,9,8,6,9,5,Terima
1197050130,B,8,7,7,9,8,Terima
1197050130,C,7,8,6,6,8,Tolak
1197050130,D,6,9,8,7,6,Terima
1197050130,E,8,5,9,5,9,Terima
1197050088,E,7,8,8,7,7,Terima
1197050129,E,8,9,7,8,7,Terima
1197050021,A,7,6,8,9,7,Tolak
1197050021,B,8,8,7,8,6,Terima
1197050021,C,7,7,6,8,7,Tolak
1197050021,D,9,8,8,9,8,Terima
1197050021,E,8,6,7,9,8,Terima
1197050015,A,8,7,7,5,8,Tolak
1197050015,B,7,8,8,7,8,Terima
1197050015,C,6,7,9,8,9,Tolak
1197050015,D,9,8,7,7,8,Terima
1197050015,E,8,8,7,7,6,Terima
1197050011,A,8,7,8,7,9,Terima
1197050011,B,6,8,7,5,6,Tolak
1197050011,C,5,4,9,9,4,Tolak
1197050011,D,9,8,5,7,7,Terima
1197050011,E,8,9,5,8,6,Terima
1197050051,A,8,8,5,7,7,Tolak
1197050051,B,7,6,5,7,7,Tolak
1197050051,C,7,6,5,8,7,Tolak
1197050051,D,9,9,8,10,8,Tolak
1197050051,E,10,10,7,10,9,Terima
1197050050,A,8,8,8,10,10,Terima
1197050050,B,9,7,7,10,6,Terima
1197050050,C,7,8,7,6,8,Tolak
1197050050,D,7,7,8,7,9,Tolak
1197050050,E,7,9,8,8,9,Terima
1197050089,A,9,7,10,8,8,Terima
1197050089,B,7,7,8,7,8,Terima
1197050089,C,8,8,7,6,7,Tolak
1197050089,D,6,8,5,7,7,Tolak
1197050089,E,8,9,10,9,8,Terima
1197050017,A,6,7,4,6,8,Tolak
1197050017,B,7,9,8,8,8,Terima
1197050017,C,9,7,9,9,6,Terima
1197050017,D,6,6,7,7,8,Tolak
1197050017,E,7,8,7,8,8,Terima
1197050097,A,5,6,8,10,9,Terima
1197050097,B,9,7,6,5,4,Terima
1197050097,C,5,8,3,7,6,Terima
1197050097,D,6,5,5,5,2,Tolak
1197050097,E,7,10,5,5,1,Tolak
1197050068,A,9,9,5,7,5,Tolak
1197050068,B,5,5,7,5,4,Tolak
1197050068,C,7,10,8,8,5,Terima
1197050068,D,5,7,7,10,6,Terima
1197050068,E,1,10,10,10,10,Tolak
1197050085,A,6,9,6,8,9,Terima
1197050085,B,5,8,8,8,9,Tolak
1197050085,C,6,9,6,9,8,Terima
1197050085,D,7,7,7,8,8,Tolak
1197050085,E,7,9,8,8,7,Tolak
1197050113,A,8,9,8,8,6,Terima
1197050113,B,7,10,10,8,9,Terima
1197050113,C,10,8,6,7,7,Terima
1197050113,D,8,7,7,8,8,Terima
1197050113,E,6,5,6,7,5,Tolak
1197050077,A,10,8,6,6,8,Terima
1197050077,B,8,7,8,10,6,Terima
1197050077,C,6,9,7,8,7,Tolak
1197050077,D,5,8,6,7,9,Tolak
1197050077,E,9,7,5,8,7,Terima
1197050046,A,5,9,6,7,8,Terima
1197050046,B,6,8,7,8,9,Tolak
1197050046,C,9,8,5,8,8,Terima
1197050046,D,7,9,9,6,7,Tolak
1197050046,E,8,6,7,9,8,Terima
1197050136,A,8,8,6,8,7,Terima
1197050136,B,7,8,7,6,7,Terima
1197050136,C,6,9,7,7,7,Tolak
1197050136,D,7,8,7,9,8,Terima
1197050136,E,8,9,8,7,8,Terima
1197050078,A,6,8,8,9,8,Terima
1197050078,B,8,9,7,8,8,Terima
1197050078,C,7,9,9,9,9,Terima
1197050078,D,7,8,9,8,8,Tolak
1197050078,E,7,7,7,7,6,Tolak
1197050093,A,9,6,8,9,5,Terima
1197050093,B,5,9,9,9,9,Tolak
1197050093,C,7,7,7,7,7,Terima
1197050093,D,8,10,5,5,6,Terima
1197050093,E,8,8,6,7,6,Terima
1197050049,A,9,8,9,8,10,Terima
1197050049,B,9,8,6,7,7,Terima
1197050049,C,7,9,8,9,7,Terima
1197050049,D,9,8,6,9,5,Tolak
1197050049,E,5,6,6,5,4,Tolak
1197050116,A,9,10,6,9,8,Terima
1197050116,B,5,5,6,8,4,Tolak
1197050116,C,7,5,4,5,4,Tolak
1197050116,D,9,8,7,9,9,Terima
1197050116,E,8,9,7,7,8,Terima
1197050035,A,9,10,8,9,6,Terima
1197050035,B,7,8,9,7,6,Terima
1197050035,C,8,7,7,6,6,Terima
1197050035,D,6,8,8,8,7,Terima
1197050035,E,9,10,8,9,8,Terima
1197050018,A,6,7,10,6,6,Tolak
1197050018,B,9,8,7,8,7,Terima
1197050018,C,8,6,8,8,6,Tolak
1197050018,D,9,9,10,9,6,Terima
1197050018,E,9,8,9,8,7,Tolak
1197050055,A,8,10,10,8,9,Terima
1197050055,B,7,8,8,9,6,Tolak
1197050055,C,6,9,10,7,9,Terima
1197050055,D,7,10,9,9,5,Terima
1197050055,E,7,8,8,7,8,Terima
1197050054,A,9,8,8,8,9,Terima
1197050054,B,5,6,7,7,7,Tolak
1197050054,C,5,7,5,7,4,Tolak
1197050054,D,8,6,8,5,6,Tolak
1197050054,E,10,9,8,9,8,Terima
1197050108,A,8,8,8,8,9,Terima
1197050108,B,9,7,8,7,7,Terima
1197050108,C,7,7,8,8,8,Terima
1197050108,D,8,7,7,8,6,Terima
1197050108,E,7,8,7,7,6,Tolak
1197050007,A,8,7,7,8,6,Tolak
1197050007,B,8,7,7,7,9,Tolak
1197050007,C,8,7,7,6,6,Tolak
1197050007,D,8,9,9,7,7,Terima
1197050007,E,8,8,7,9,8,Terima
1197050117,A,7,6,8,7,8,Tolak
1197050117,B,7,7,7,6,7,Tolak
1197050117,C,7,6,6,8,5,Tolak
1197050117,D,8,7,8,7,8,Tolak
1197050117,E,8,10,8,8,10,Terima
1197050096,A,8,7,7,8,6,Tolak
1197050096,B,7,9,8,7,8,Terima
1197050096,C,9,9,7,8,7,Terima
1197050096,D,8,6,6,7,6,Tolak
1197050096,E,6,7,8,7,5,Tolak
1197050030,A,8,9,7,8,7,Terima
1197050030,B,7,7,7,7,7,Tolak
1197050030,C,8,7,9,8,6,Terima
1197050030,D,8,9,7,8,8,Terima
1197050030,E,8,7,8,7,8,Tolak
1197050122,A,6,8,8,7,9,Tolak
1197050122,B,8,7,9,9,6,Terima
1197050122,C,8,5,8,7,10,Terima
1197050122,D,5,5,5,5,5,Tolak
1197050122,E,9,9,8,7,8,Terima
1197050025,A,8,7,8,7,7,Terima
1197050025,B,7,7,9,8,7,Tolak
1197050025,C,9,8,9,9,7,Terima
1197050025,E,8,9,8,9,8,Terima
1197050025,E,8,8,7,9,8,Tolak
1197050098,A,7,8,7,6,6,Tolak
1197050098,B,9,8,8,7,7,Terima
1197050098,C,8,7,6,9,8,Terima
1197050098,D,8,6,9,6,6,Tolak
1197050098,E,6,9,8,6,9,Tolak
1167050004,A,9,9,8,9,8,Terima
1167050004,B,6,6,5,6,6,Tolak
1167050004,C,7,7,8,8,7,Tolak
1167050004,D,8,9,8,8,8,Tolak
1167050004,E,8,9,9,8,8,Tolak
1197050042,A,8,8,7,6,7,Tolak
1197050042,B,6,4,5,7,8,Tolak
1197050042,C,7,7,8,9,9,Tolak
1197050042,D,9,9,9,8,8,Terima
1197050042,E,8,8,8,9,7,Terima
1197050025,A,8,8,9,6,8,Terima
1197050025,B,9,8,7,7,9,Terima
1197050025,C,7,8,6,8,9,Tolak
1197050025,D,7,8,6,8,9,Tolak
1197050025,E,9,8,9,8,7,Terima
1197050133,A,9,7,6,9,7,Terima
1197050133,B,9,8,7,8,8,Terima
1197050133,C,8,9,7,9,9,Terima
1197050133,D,6,5,6,6,6,Tolak
1197050133,E,7,8,8,9,7,Tolak
1167050151,A,6,7,8,7,8,Tolak
1167050151,B,7,9,8,8,8,Tolak
1167050151,C,8,8,8,8,7,Tolak
1167050151,D,7,8,8,7,7,Tolak
1167050151,E,8,8,8,8,8,Tolak
1197050067,A,9,7,8,7,7,Terima